sampleID,BearID,Year,BearYear,sex,birth,age,Repro,C13,N15,mass,headcirc,cortkit,cortisol,x,y
956,W0719,2013,W0719_2013,M,2003,12,SolitaryM,-23.36,6.53,155,71,2,7.69,1449944.016,6835181.73
682,W0802,2010,W0802_2010,M,2003,8,SolitaryM,-23.37,7,152,72,2,6.91,1448374.911,6839075.729
653,W1019,2011,W1019_2011,M,2004,8,SolitaryM,-23.37,6.94,233,81,2,6.69,1454354.403,6794242.61
714,W0104,2015,W0104_2015,F,2000,16,WithCubs,-23.38,4.4,102,59,2,8.9,1492973.057,6814457.064
951,W0908,2013,W0908_2013,M,2008,6,SolitaryM,-23.38,5.1,154,69,2,11.1,1519343.961,6708771.183
610,W1210,2012,W1210_2012,M,2008,5,SolitaryM,-23.4,4.6,85,62,2,7.01,1456028.922,6790166.69
737,W0228,2008,W0228_2008,M,1998,11,SolitaryM,-23.41,4.63,182,72,2,7,1432354.144,6792293.316
599,W0812,2012,W0812_2012,M,2007,6,SolitaryM,-23.41,5.11,113,67,2,5.16,1461622.476,6807043.596
719,W1205,2014,W1205_2014,F,2011,4,SolitaryF,-23.42,5.42,74.5,55,2,6.26,1491816.37,6807974.289
595,W0719,2012,W0719_2012,M,2002,11,SolitaryM,-23.43,6.9,159,68,2,10.31,1449698.159,6846805.805
987,W1206,2016,W1206_2016,F,2011,6,SolitaryF,-23.436,5.382,,,2,7.3,1501962.948,6814086.99
593,W0625,2012,W0625_2012,M,2003,10,SolitaryM,-23.45,5.47,162,72,2,6.42,1469138.46,6837506.801
601,W0825,2012,W0825_2012,F,2007,6,SolitaryF,-23.45,4.55,58,53,2,7.38,1465369.284,6821342.652
952,W0825,2013,W0825_2013,F,2007,7,SolitaryF,-23.45,4.35,75,59,2,6.92,1464516.408,6824749.983
603,W0910,2012,W0910_2012,M,2008,5,SolitaryM,-23.48,5.93,139,67,2,2.75,1457340.716,6778016.752
598,W0811,2012,W0811_2012,M,2007,6,SolitaryM,-23.49,5.24,NA,71,2,4.78,1471135.302,6789630.852
1100,W1701,2019,W1701_2019,F,2015,4,SolitaryF,-23.5,5.16,78,53,2,6.72,1504052.782,6810116.642
1101,W1702,2019,W1702_2019,F,2015,4,SolitaryF,-23.5,5.16,78,53,2,5.89,1453672.213,6806850.741
1161,W1819,2020,W1819_2020,F,2016,4,SolitaryF,-23.51,4.18,74,55,2,9.59,1371571.656,6829901.091
950,W0910,2013,W0910_2013,M,2008,5,SolitaryM,-23.53,5.74,186,71,2,29.45,1455156.922,6774353.255
920,W1211,2013,W1211_2013,M,2000,14,SolitaryM,-23.56,6.52,162,71,2,7.93,1469159.791,6833922.11
685,W0810,2010,W0810_2010,M,2007,4,SolitaryM,-23.57,6.17,102,64,2,4.86,1481386.466,6773411.675
1015,W1017,2017,W1017_2017,F,2009,9,WithCubs,-23.58,4.06,90,59.5,2,7.58,1446914.925,6832805.076
1186,W2019,2020,W2019_2020,F,,,SolitaryF,-23.6,4.45,79,56,2,5.42,1473875.011,6819965.355
1150,W1701,2020,W1701_2020,F,2015,5,SolitaryF,-23.7,5.69,102.5,57,2,5.44,1508592.066,6810919.438
1164,W1702,2020,W1702_2020,F,2015,5,SolitaryF,-23.7,5.69,102.5,57,2,6.76,1453510.204,6806336.514
1067,W1209,2018,W1209_2018,F,2011,8,SolitaryF,-23.73,4.49,83.4,58,2,6.01,1479706.727,6812268.778
720,W1206,2014,W1206_2014,F,2011,4,SolitaryF,-23.75,5.66,90.6,60,2,6.33,1493814.419,6809696.986
699,W1020,2010,W1020_2010,M,2004,7,SolitaryM,-23.79,5.91,178,72,2,7.71,1490095.167,6814484.421
1003,W1204,2016,W1204_2016,M,2011,6,SolitaryM,-23.79,5.2,153.8,67,2,7.09,1509310.407,6794361.103
912,W1314,2013,W1314_2013,M,2009,5,SolitaryM,-23.84,4.88,117,67,2,5.95,1483624.33,6814108.748
1148,W1803,2020,W1803_2020,F,2016,4,SolitaryF,-23.9,4.9,60,54,2,7.76,1481334.582,6806568.235
717,W1206,2015,W1206_2015,F,2011,5,SolitaryF,-24.02,6.15,120,65,2,4.64,1503948.585,6811668.546
