"ID_Year","x","y","count"
"117","W0611 2013",1462608.41587302,6812050.08634921,1575
"118","W0611 2015",1462617.99766464,6812691.24941616,2141
"119","W0612 2009",1367932.64564637,6753021.25175843,4123
"120","W0616 2009",1441015.46921835,6832850.72953655,4337
"121","W0616 2010",1439932.92681564,6831278.87932961,1790
"122","W0620 2008",1443485.00261628,6793737.4369186,3440
"123","W0620 2009",1443477.09420124,6793195.63786385,4363
"124","W0620 2010",1444732.14392804,6792354.79385307,4002
"125","W0620 2012",1444236.29879975,6792588.48010107,3166
"126","W0620 2013",1444188.54680962,6792252.3459728,3824
"127","W0620 2014",1441764.04850563,6793150.60044096,4082
"128","W0620 2015",1444089.44059977,6794071.23990773,2601
"129","W0621 2009",1338293.82374451,6796104.28059483,4102
"130","W0621 2011",1344338.91205212,6806015.12703583,307
"131","W0621 2013",1340235.66237942,6800636.15434084,311
"132","W0621 2016",1334994.14939759,6794633.14457831,415
"133","W0621 2017",1338002.85606061,6799413.07575758,132
"134","W0622 2009",1348239.7424196,6809221.09188361,3265
"135","W0622 2010",1348354.73313492,6808190.88690476,1008
"136","W0624 2006",1471911.0952381,6812173.46232085,2163
"137","W0624 2007",1470574.15222405,6813120.33113674,3035
"138","W0624 2008",1471170.74789621,6813821.58870968,2852
"139","W0625 2006",1465195.50411523,6837774.73251029,486
"140","W0625 2007",1469494.69293986,6837225.06948076,2677
"141","W0625 2008",1470712.69404762,6838395.49970238,3360
"142","W0625 2009",1466350.55348979,6838621.50106675,3281
"143","W0625 2010",1469577.14573379,6838683.64095563,2930
"144","W0625 2011",1471672.54645448,6834306.05897496,4273
"145","W0625 2012",1469138.45965583,6837506.80114723,2615
"146","W0625 2013",1471539.33515483,6822893.30874317,1098
"147","W0625 2014",1458679.20020855,6795745.22054223,1918
"148","W0626 2006",1446430.82179575,6817716.09664153,1459
"149","W0626 2007",1446127.01186441,6816030.83355932,2950
"150","W0626 2008",1444992.13000786,6815611.95993716,2546
"151","W0703 2009",1451219.39135864,6829841.83966034,4004
"152","W0703 2010",1452623.67671692,6831352.35965542,4179
"153","W0703 2011",1452808.99482249,6833999.70315582,4056
"154","W0703 2012",1452582.53074979,6835931.96293176,1187
"155","W0706 2018",1391492.526766,6815213.56622517,3624
"156","W0706 2019",1393500.90076336,6816871.63358779,393
"157","W0716 2007",1473584.41462384,6809807.84826712,2366
"158","W0716 2010",1472414.97047798,6811148.4470478,4268
"159","W0716 2012",1477371.85338695,6812600.07918342,3233
"160","W0716 2014",1476631.48892405,6811583.47362869,3792
"161","W0716 2015",1474193.94755421,6810701.43948563,3966
"162","W0716 2016",1472403.36814621,6811703.65647147,2681
"163","W0716 2017",1472705.62991927,6809968.83551968,3964
"164","W0717 2007",1440499.44936709,6828356.11392405,474
"165","W0718 2008",1425737.16175182,6808983.19007299,3425
"166","W0718 2009",1434319.50980392,6815580.25980392,408
"167","W0718 2010",1431594.4059312,6821186.86785291,4215
"168","W0718 2011",1438451.14514666,6817136.18052616,3307
"169","W0719 2008",1457526.66947769,6847283.96572361,3676
"170","W0719 2009",1457280.27363566,6841921.54880861,1301
"171","W0719 2010",1456498.38098802,6851293.28542914,4008
